Date,"('Portfolio', 'daily_value')","('SPY', 'daily_value')"
2009-01-02,1000000.0,1000000.0
2009-01-05,1008740.3225720923,998847.9262672812
2009-01-06,1008692.4535459509,1005529.9539170507
2009-01-07,981001.0537341031,975460.8294930876
2009-01-08,997510.7605330502,979377.8801843319
2009-01-09,979848.6568105207,958410.1382488479
2009-01-12,956105.4107699222,935368.66359447
2009-01-13,956247.5058969186,937096.7741935485
2009-01-14,931549.2444661892,907603.6866359448
2009-01-15,928545.9572033257,907949.3087557604
2009-01-16,938037.133280451,915092.1658986177
2009-01-20,920040.9476314308,866705.0691244241
2009-01-21,949922.6652204617,904147.4654377882
2009-01-22,971044.2580679052,890207.3732718894
2009-01-23,1000467.3691681373,894124.4239631337
2009-01-26,1006833.4436607581,900230.4147465439
2009-01-27,1012901.0869874408,909331.7972350232
2009-01-28,1031037.6710328312,940092.1658986175
2009-01-29,1030619.791009523,909562.2119815669
2009-01-30,1025894.6690895851,891013.8248847927
2009-02-02,1020543.4773394323,888364.0552995392
2009-02-03,1025358.5844183823,900806.4516129032
2009-02-04,1031567.8250486816,896428.5714285715
2009-02-05,1054820.1862176459,909792.6267281106
2009-02-06,1075230.0565642128,935714.2857142857
2009-02-09,1082183.3412486976,936981.5668202766
2009-02-10,1058746.7503970433,894124.4239631337
2009-02-11,1062862.789670816,899308.7557603688
2009-02-12,1078956.3709051819,900000.0000000002
2009-02-13,1071593.9409492346,890322.5806451616
2009-02-17,1056323.7489499778,852188.9400921661
2009-02-18,1069875.130060437,850230.4147465439
2009-02-19,1045988.010228043,841013.8248847928
2009-02-20,1058494.1380301442,832834.1013824887
2009-02-23,1031547.4553264659,803110.599078341
2009-02-24,1041537.3591156829,833525.3456221198
2009-02-25,1034804.1983022827,826958.5253456222
2009-02-26,1023747.2885302393,813479.2626728112
2009-02-27,1018909.2276995593,795276.4976958527
2009-03-02,996055.0847769451,759447.004608295
2009-03-03,991623.7799289317,753801.8433179725
2009-03-04,993557.4737121062,771658.9861751153
2009-03-05,987249.1416070758,740092.1658986175
2009-03-06,981006.6950425858,741474.6543778802
2009-03-09,955410.4057258582,732718.8940092166
2009-03-10,976631.5954573605,776382.4884792627
2009-03-11,999083.2220552799,781451.6129032258
2009-03-12,1025158.7054922221,812211.9815668204
2009-03-13,1025313.1315549131,818548.3870967744
2009-03-16,1018061.0391817275,816129.0322580648
2009-03-17,1040905.4287919814,841013.8248847928
2009-03-18,1059928.6721153357,859907.8341013826
2009-03-19,1063104.7898327492,849193.5483870968
2009-03-20,1056864.2514474723,831105.9907834103
2009-03-23,1086855.0584267306,890783.4101382488
2009-03-24,1075448.722321876,873271.8894009216
2009-03-25,1079230.6031338586,882488.4792626727
2009-03-26,1097241.8611213823,900460.8294930875
2009-03-27,1076473.0066258167,884216.5898617511
2009-03-30,1060607.527745712,853686.6359447003
2009-03-31,1066775.3558617935,861635.9447004609
2009-04-01,1087223.428365236,878225.8064516129
2009-04-02,1096642.5275526487,903917.050691244
2009-04-03,1106625.988953338,912903.2258064513
2009-04-06,1102556.3060598662,905760.3686635942
2009-04-07,1090366.9189673287,884677.4193548384
2009-04-08,1096507.1066649084,894239.6313364053
2009-04-09,1113495.532905593,929723.5023041472
2009-04-13,1124186.0490909796,929953.917050691
2009-04-14,1109349.8102714992,913940.0921658983
2009-04-15,1114903.656764446,923617.5115207371
2009-04-16,1124498.8647103012,937211.9815668201
2009-04-17,1129628.8041234126,943548.3870967742
2009-04-20,1118139.0820085735,903917.0506912441
2009-04-21,1124562.8008019167,921658.9861751151
2009-04-22,1125667.3983987677,916013.8248847926
2009-04-23,1146801.182839684,925000.0
2009-04-24,1150170.3232277771,938940.0921658985
2009-04-27,1146878.5556995799,930069.1244239631
2009-04-28,1138065.3545423374,927073.732718894
2009-04-29,1151367.6517774996,946889.400921659
2009-04-30,1149334.0712165223,947119.8156682027
2009-05-01,1152763.247967754,952304.1474654379
2009-05-04,1181960.416831503,984677.4193548388
2009-05-05,1182200.2707711959,981336.4055299541
2009-05-06,1188927.069460602,998271.8894009219
2009-05-07,1173268.3709311143,984447.004608295
2009-05-08,1185186.7273428363,1007373.2718894009
2009-05-11,1184124.767566201,988594.470046083
2009-05-12,1168114.7987345548,985599.0783410138
2009-05-13,1146425.6545640829,960829.4930875577
2009-05-14,1156285.1232370175,969009.2165898618
2009-05-15,1157734.7713533689,961175.1152073734
2009-05-18,1172168.0946221496,988479.2626728112
2009-05-19,1178904.0062839338,987211.9815668204
2009-05-20,1177456.3639007814,980645.1612903228
2009-05-21,1177360.2456602023,966589.8617511523
2009-05-22,1171890.5699453382,964516.1290322582
2009-05-26,1205406.687173682,989170.5069124425
2009-05-27,1210352.6387490924,971543.7788018434
2009-05-28,1224857.8089354967,985138.2488479265
2009-05-29,1240805.5159972652,1002534.5622119816
2009-06-01,1259099.8481395585,1026843.3179723502
2009-06-02,1265068.9753888515,1027649.7695852534
2009-06-03,1261846.3216646875,1014631.3364055298
2009-06-04,1286004.5920485468,1024193.5483870967
2009-06-05,1279884.0009134826,1024423.9631336406
2009-06-08,1273286.1197945038,1020161.2903225806
2009-06-09,1268759.1297233524,1025345.6221198156
2009-06-10,1259750.7860573605,1022811.0599078339
2009-06-11,1256026.9141939352,1027304.1474654377
2009-06-12,1236144.0788619511,1030184.331797235
2009-06-15,1222074.1811905936,1006566.8202764976
2009-06-16,1224844.8100291763,992857.1428571428
